KVA_250,KVA_Pg,KVA_Py
Vegetasi hutan batuan ultrabasa,2,2
Vegetasi hutan batuan ultrabasa pamah,2,2
Vegetasi hutan batuan ultrabasa pamah monsun,2,1
Vegetasi hutan batuan ultrabasa pamah monsun malar hijau,3,2
Vegetasi hutan batuan ultrabasa pamah monsun merangas,1,1
Vegetasi hutan batuan ultrabasa pegunungan,2,2
Vegetasi hutan batuan ultrabasa pegunungan alpin,1,1
Vegetasi hutan batuan ultrabasa pegunungan atas,2,2
Vegetasi hutan batuan ultrabasa pegunungan atas monsun,1,1
Vegetasi hutan batuan ultrabasa pegunungan bawah,3,3
Vegetasi hutan batuan ultrabasa pegunungan bawah monsun,2,2
Vegetasi hutan batuan ultrabasa pegunungan subalpin,2,1
Vegetasi hutan batugamping monsun pamah pada bentang alam karst,4,2
Vegetasi hutan batugamping monsun pegunungan atas pada bentang alam karst,3,2
Vegetasi hutan batugamping monsun pegunungan bawah pada bentang alam karst,3,3
Vegetasi hutan batugamping monsun pegunungan pada bentang alam karst,3,2
Vegetasi hutan batugamping monsun pegunungan subalpin pada bentang alam karst,2,1
Vegetasi hutan batugamping pamah,3,2
Vegetasi hutan batugamping pamah monsun,2,2
Vegetasi hutan batugamping pamah monsun malar hijau,4,3
Vegetasi hutan batugamping pamah monsun merangas,3,2
Vegetasi hutan batugamping pamah monsun merangas pada bentang alam karst,4,3
Vegetasi hutan batugamping pamah pada bentang alam karst,5,3
Vegetasi hutan batugamping pegunungan alpin,2,2
Vegetasi hutan batugamping pegunungan atas,3,2
Vegetasi hutan batugamping pegunungan atas pada bentang alam karst,4,3
Vegetasi hutan batugamping pegunungan bawah,3,3
Vegetasi hutan batugamping pegunungan bawah monsun,2,2
Vegetasi hutan batugamping pegunungan bawah pada bentang alam karst,4,3
Vegetasi hutan batugamping pegunungan pada bentang alam karst,4,3
Vegetasi hutan batugamping pegunungan subalpin,2,1
Vegetasi hutan batugamping pegunungan subalpin pada bentang alam karst,3,2
Vegetasi hutan danau,5,3
Vegetasi hutan danau gambut,4,2
Vegetasi hutan dipterokarpa pamah,5,4
Vegetasi hutan gambut,4,2
Vegetasi hutan kerangas pamah,3,2
Vegetasi hutan kerangas pamah monsun,2,1
Vegetasi hutan monsun tepian sungai malar hijau,4,3
Vegetasi hutan pamah (non dipterokarpa),5,4
Vegetasi hutan pamah monsun malar hijau,4,3
Vegetasi hutan pamah monsun merangas,3,2
Vegetasi hutan pantai,4,3
Vegetasi hutan pantai monsun,3,2
Vegetasi hutan pegunungan atas,4,3
Vegetasi hutan pegunungan atas monsun,3,2
Vegetasi hutan pegunungan bawah,4,3
Vegetasi hutan pegunungan bawah monsun (monsoon lower mountain forest),3,2
Vegetasi hutan pegunungan meranggas pada bukit tinggi (deciduous forest on higher hills),2,2
Vegetasi hutan pegunungan subalpin,2,1
Vegetasi hutan pegunungan subalpin monsun,2,1
Vegetasi hutan rawa air payau,3,2
Vegetasi hutan rawa air payau monsun pada bentang alam karst,3,3
Vegetasi hutan rawa air payau pada bentang alam karst,3,3
Vegetasi hutan rawa air tawar,5,3
Vegetasi hutan rawa air tawar monsun,4,2
Vegetasi hutan rawa air tawar monsun pada bentang alam karst,4,3
Vegetasi hutan rawa air tawar pada bentang alam karst,4,3
Vegetasi hutan savana sekitar danau,4,3
Vegetasi hutan tepian sungai,4,3
Vegetasi hutan tepian sungai malar hijau,4,3
Vegetasi hutan tepian sungai payau,3,2
Vegetasi litoral,1,1
Vegetasi mangrove,4,3
Vegetasi mangrove monsun,3,2
Vegetasi nipah,3,2
Vegetasi nipah monsun,3,2
Vegetasi padang rumput lahan kering pamah,3,2
Vegetasi padang rumput monsun pamah,2,1
Vegetasi padang rumput rawa air payau,2,1
Vegetasi padang rumput rawa air payau monsun,2,1
Vegetasi padang rumput rawa air tawar,3,2
Vegetasi padang rumput rawa air tawar monsun,3,2
Vegetasi padang rumput rawa gambut pamah,3,1
Vegetasi padang rumput tepian sungai payau,3,3
Vegetasi sagu,3,3
Vegetasi sagu monsun,3,3
Vegetasi salju batugamping pegunungan alpin,3,2
Vegetasi savana lahan kering pamah,2,2
Vegetasi savana monsun pamah,2,2
Vegetasi savana pegunungan monsun,2,2
Vegetasi savana rawa air payau,2,2
Vegetasi savana rawa air tawar,3,3
Vegetasi savana rawa gambut pamah,2,2
Vegetasi terna danau gambut pegunungan,2,2
Vegetasi terna rawa air payau,2,2
Vegetasi terna rawa air payau monsun pada bentang alam karst,3,3
Vegetasi terna rawa air payau pada bentang alam karst,3,3
Vegetasi terna rawa air tawar,4,3
Vegetasi terna rawa air tawar monsun,3,2
Vegetasi terna rawa air tawar monsun pada bentang alam karst,4,3
Vegetasi terna rawa gambut,2,2
Vegetasi terna rawa monsun,2,2
Vegetasi terna rawa payau monsun,2,2
Vegetasi terna savana rawa gambut,2,2
Vegetasi terna tepian danau,4,3
Vegetasi terna tepian danau pegunungan,4,3
Vegetasi terna tepian sungai,3,3
Vegetasi terna tepian sungai payau,2,2
